name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J2243+1340,340.9548,13.6694,-1.0,failed,,,JY & FW,no trace,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2244+2907,341.1797,29.1174,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2247+3247,341.9262,32.7837,-1.0,uNQ,,,JY & FW,no trace in mosfire-1911,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2312+3215,348.0116,32.2571,-1.0,uNQ,,,JY & FW,uNQ in mosfire-1911,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2328+2755,352.2429,27.9199,-1.0,uNQ,,,JY & FW,failed in mosfire-1911,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2346+2545,356.5846,25.7568,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2352+2655,358.0109,26.9195,-1.0,uNQ,,,JY & FW,might be FeLoBAL; failed in mosfire-1911,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2355+2048,358.7588,20.8166,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0007-0657,1.8499,-6.9539,-1.0,failed,,,JY & FW,no trace,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0020+1956,5.1417,19.9473,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0038-0653,9.5158,-6.8897,-1.0,QSO,,7.1,known quasar,mosfire-1911,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0058-2903,14.6262,-29.0659,21.88,failed,,,RN,no trace,mosfire-2010,0.134768,272.14035,5.899748,3.539838,8.823864,0.75694,0.187724,-1.0,0.26647338,-1.0,-1.0,21.71,-1.0
J0102-3327,15.5523,-33.4614,21.28,uNQ,,,RN,,mosfire-2010,0.893392,143.98134,6.482617,3.374587,5.097377,0.777932,0.13258256,0.17071265,0.20972423,0.22149435,21.73,21.21,21.07
J0159-2017,29.9318,-20.2993,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0200+2520,30.2277,25.3447,-1.0,failed,,,EB,no trace,mosfire-2010,1.258806,82.42508,13.556436,2.864862,16.297968,0.64783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0208+3222,32.1246,32.3791,-1.0,failed,,,JY & FW,no trace,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0220+3458,35.143,34.9733,-1.0,inconclusive,,,LOFAR,might need LRIS reobs,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0251+1724,42.9514,17.4097,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0339-1610,54.921,-16.1725,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0705+2859,106.4665,28.9878,-1.0,uNQ,,,EB,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0753+3750,118.3745,37.8394,-1.0,failed,,,EB,bright central source,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0758+0040,119.734,0.6814,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0759+0735,119.9502,7.5841,-1.0,uNQ,,,JY & FW,,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0808+3855,122.174,38.9309,-1.0,failed,,,EB,no trace,mosfire-2010,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0812+3201,123.0085,32.024,-1.0,uNQ,,,EB,,mosfire-2010,2.633596,101.01497,6.366568,3.096813,1.913214,0.656868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
