t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SDSSJ103418.64+203300.2  ,5.01 ,158.5777083,20.5500583,18.832247,0.102512,0.046418,1699.0244,507.9065,2.382582,0.571213,95.082695,2.273052,40.39782,43.907936,13.985158,25.833292,21.608477,18.484106,18.393642,19.635832,0.1658762915626021
SDSSJ083317.66+272629.0  ,5.02 ,128.3235833,27.4413889,-999999500,-999999500,0.013599,2623.9067,597.37634,2.772803,0.600133,109.25857,0.964289,11.582612,10.666951,6.603372,27.166195,22.539482,19.840485,19.9299,20.450586,0.017598271840617186
SDSSJ092216.81+265359.0  ,5.048,140.5700417,26.8997389,19.140955,0.107325,0.000288,1200.9819,274.08112,2.912418,0.671814,62.62305,1.68492,12.700005,10.582298,10.035085,31.352228,21.933552,19.74049,19.93855,19.996197,0.10232586834000623
SDSSJ083554.36+053753.0  ,5.065,128.9765,5.6314056,18.67848,0.054612,0.048482,2976.8296,786.9229,2.688828,0.61567,189.81523,1.519136,21.00757,22.840422,10.46548,25.78605,22.04601,19.194061,19.10324,19.950602,0.08342550958747487
SDSSJ104335.19+101034.5  ,5.085,160.896625,10.1762722,19.941772,0.211487,0.051381,2190.1533,1181.2306,2.707678,0.591239,106.02992,1.430383,6.96172,7.277851,6.250151,25.723001,22.111368,20.39321,20.344992,20.510273,0.11450013569959798
SDSSJ095707.67+061059.5  ,5.14 ,149.282,6.1832083,18.28928,0.066443,0.123116,545.835,262.45605,2.479161,0.599791,58.262436,5.065703,32.2846,31.72965,26.186949,24.77421,20.738401,18.727512,18.746336,18.954788,0.07071001644266701
SDSSJ085430.37+205650.8  ,5.171,133.6265417,20.9474556,,,-0.01995,2424.9094,240.52814,2.457187,0.5276,71.93959,2.519057,24.876085,30.555332,17.981268,NaN,21.496904,19.010546,18.787283,19.36295,0.04312111735522329
SDSSJ094855.36+210631.5  ,5.173,147.2306667,21.1087694,18.750425,0.099185,-0.006404,2503.8335,686.6466,2.838479,0.640581,124.088524,1.796904,11.259468,11.865349,10.514492,NaN,21.863688,19.871204,19.814299,19.94553,0.13340656205338863
SDSSJ095727.86+051905.2  ,5.185,149.366125,5.3181333,18.540606,0.058949,-0.032493,1162.8021,464.72504,2.813305,0.653979,83.90117,1.810046,15.261296,13.346477,11.92161,NaN,21.855776,19.541021,19.686583,19.809162,0.10564189081900485
SDSSJ074154.72+252029.6  ,5.194,115.478,25.3415694,17.41799,0.02069,0.124937,2177.7832,410.1098,1.550603,0.412725,75.136284,7.095593,108.27638,134.03293,48.907898,24.758276,20.372528,17.413666,17.18197,18.276552,0.10244582846951517
