#ID , RA , DEC , z , Discovery Ref ,,,,
J000445.81-004944.30,00:04:45.81,-00:49:44.30,6.10,Matsuoka19b,,,,
J030947.49+271757.31,03:09:47.49,+27:17:57.31,6.10,Belladitta20,,,,
J102841.66+001755.90,10:28:41.66,+00:17:55.90,6.10,Matsuoka21,,,,
J0320,  ,  ,6.1, Nanni in prep ,,,,
J?,  ,  ,6.1, Wolff in prep ,,,,
J221644.47-001650.10,22:16:44.47,-00:16:50.10,6.0962,Matsuoka16,,,,
J160254.18+422822.90,16:02:54.18,+42:28:22.90,6.09,Fan04,,,,
J023542.42-053241.60,02:35:42.42,-05:32:41.60,6.09,Matsuoka17,,,,
J0109-5423,  ,  ,6.09,used by Bosman18,,,,
J210054.62-171522.50,21:00:54.62,-17:15:22.50,6.0812,Willott10,,,,
J222847.71+015240.50,22:28:47.71,+01:52:40.50,6.0805,Matsuoka17,,,,
J193207.62+713908.41,19:32:07.62,+71:39:08.41,6.08,Banados16,,,,
J093543.32-011033.30,09:35:43.32,-01:10:33.30,6.08,Matsuoka19b,,,,
J030331.40-001912.90,03:03:31.40,-00:19:12.90,6.078,Jiang08,,,,
J084229.43+121850.50,08:42:29.43,+12:18:50.50,6.07602,DeRosa11,,,,
J035349.72+010404.40,03:53:49.72,+01:04:04.40,6.072,Jiang08,,,,
J042011.34-445323.80,04:20:11.34,-44:53:23.80,6.07,Reed17,,,,
J091114.27+015219.40,09:11:14.27,+01:52:19.40,6.07,Matsuoka17,,,,
J155909.09+221217.43,15:59:09.09,+22:12:17.43,6.07,Wang17,,,,
J141653.01+014702.20,14:16:53.01,+01:47:02.20,6.07,Matsuoka18,,,,
J110248.67-010550.90,11:02:48.67,-01:05:50.90,6.07,Matsuoka21,,,,
J111027.01+022800.70,11:10:27.01,+02:28:00.70,6.07,Matsuoka21,,,,
J?,  ,  ,6.07, Gloudemans in prep ,,,,
J103446.51-142515.85,10:34:46.51,-14:25:15.85,6.0681,Chehade18,,,,
J205406.49-000514.80,20:54:06.49,-00:05:14.80,6.0638828,Jiang08,,,,
J120103.02+013356.40,12:01:03.02,+01:33:56.40,6.06,Matsuoka17,,,,
J010603.68-003015.20,01:06:03.68,-00:30:15.20,6.06,Matsuoka19b,,,,
J145520.26+031833.00,14:55:20.26,+03:18:33.00,6.06,Matsuoka21,,,,
J110756.01-011819.00,11:07:56.01,-01:18:19.00,6.06,Matsuoka21,,,,
J163033.90+401209.60,16:30:33.90,+40:12:09.60,6.058,Fan03,,,,
J082813.41+263355.49,08:28:13.41,+26:33:55.49,6.05,used by Reines16,,,,
J231802.80-024634.00,23:18:02.80,-02:46:34.00,6.05,Willott09,,,,
J055945.47-153500.20,05:59:45.47,-15:35:00.20,6.05,Banados16,,,,
J095740.39+005333.60,09:57:40.39,+00:53:33.60,6.05,Matsuoka18,,,,
J222309.51+032620.30,22:23:09.51,+03:26:20.30,6.05,Matsuoka18,,,,
J020415.74+001534.50,02:04:15.74,+00:15:34.50,6.05,Matsuoka21,,,,
quasar pair 1,  ,  ,6.05, announced at conference ,,,,
quasar pair 2,  ,  ,6.05, announced at conference ,,,,
J?,  ,  ,6.05, Gloudemans in prep ,,,,
J160349.07+551032.30,16:03:49.07,+55:10:32.30,6.041,Kashikawa15,,,,
J120737.43+063010.10,12:07:37.43,+06:30:10.10,6.040,Jiang15,,,,
J142910.22-000207.40,14:29:10.22,-00:02:07.40,6.04,Matsuoka17,,,,
J140254.67+402403.19,14:02:54.67,+40:24:03.19,6.04,Banados16,,,,
J164121.64+375520.50,16:41:21.64,+37:55:20.50,6.04,Willott07,,,,
J140029.99-012521.00,14:00:29.99,-01:25:21.00,6.04,Matsuoka18,,,,
J140028.79-001151.50,14:00:28.79,-00:11:51.50,6.04,Matsuoka18,,,,
J130608.26+035626.30,13:06:08.26,+03:56:26.30,6.03332,Fan01,,,,
J040819.23-563228.82,04:08:19.23,-56:32:28.82,6.03,Reed17,,,,
J221556.63+260629.41,22:15:56.63,+26:06:29.41,6.03,Banados16,,,,
J020258.21-025153.60,02:02:58.21,-02:51:53.60,6.03,Matsuoka17,,,,
J020611.20-025537.80,02:06:11.20,-02:55:37.80,6.03,Matsuoka17 and Wang19,,,,
J141612.71+001546.20,14:16:12.71,+00:15:46.20,6.03,Matsuoka17,,,,
J132308.18+012619.20,13:23:08.18,+01:26:19.20,6.03,Matsuoka21,,,,
J010718.87+002724.20,01:07:18.87,+00:27:24.20,6.03,Matsuoka21,,,,
J141728.67+011712.40,14:17:28.67,+01:17:12.40,6.02,Matsuoka17,,,,
J174343.13+412450.19,17:43:43.13,+41:24:50.19,6.0262,Eilers20,,,,
J015957.96-363356.88,01:59:57.96,-36:33:56.88,6.02,Carnall15,,,,
J125757.47+634937.20,12:57:57.47,+63:49:37.20,6.02,Jiang15,,,,
J120253.13+025630.80,12:02:53.13,+02:56:30.80,6.02,Matsuoka21,,,,
J023551.42+013932.30,02:35:51.42,+01:3:932.30,6.02,Matsuoka21,,,,
J021627.81-045534.10,02:16:27.81,-04:55:34.10,6.01,Willott09,,,,
J113717.73+354956.90,11:37:17.73,+35:49:56.90,6.01,Fan06,,,,
J222827.83+012809.50,22:28:27.83,+01:28:09.50,6.01,Matsuoka16,,,,
J120754.14-000553.30,12:07:54.14,-00:05:53.30,6.01,Matsuoka16,,,,
J090254.87+015510.90,09:02:54.87,+01:55:10.90,6.01,Matsuoka17,,,,
J085348.84+013911.00,08:53:48.84,+01:39:11.00,6.01,Matsuoka17,,,,
J121905.34+005037.50,12:19:05.34,+00:50:37.50,6.01,Matsuoka18,,,,
J142611.33-012822.80,14:26:11.33,-01:28:22.80,6.01,Matsuoka19b,,,,
J224049.00-183943.80,22:40:49.00,-18:39:43.80,6.01,Banados14,,,,
J002806.56+045725.70,00:28:06.56,+04:57:25.70,6.0008,Jiang15,,,,
J005502.91+014618.30,00:55:02.91,+01:46:18.30,6.0060,Willott09,,,,
J003856.52-102553.90,00:38:56.52,-10:25:53.90,6.0039,Banados16,,,,
J231038.88+185519.70,23:10:38.88,+18:55:19.70,6.002841,Jiang16,,,,
J081827.40+172251.80,08:18:27.40,+17:22:51.80,6.0,Fan06,,,,
J225002.01-501542.15,22:50:02.01,-50:15:42.15,6.00,Reed17,,,,
J0131-3841,  ,  ,6.00,used by Bosman18,,,,
J235651.58+002333.30,23:56:51.58,+00:23:33.30,6.00,Jiang09,,,,
J110301.66+011845.70,11:03:01.66,+01:18:45.70,6.00,Matsuoka21,,,,
J115006.96+021131.00,11:50:06.96,+02:11:31.00,6.00,Matsuoka21,,,,
J0244,  ,  ,6.0, Nanni in prep ,,,,
J0321,  ,  ,6.0, Nanni in prep ,,,,
J023152.95-285020.10,02:31:52.95,-28:50:20.10,5.99,Banados14,,,,
J004623.43-283746.30,00:46:23.43,-28:37:46.30,5.99,used by Venemans18,,,,
J015804.14-290519.25,01:58:04.14,-29:05:19.25,5.99,Banados16,,,,
J031649.87-134032.30,03:16:49.87,-13:40:32.30,5.99,Willott10,,,,
J085813.51+000057.10,08:58:13.51,+00:00:57.10,5.99,Matsuoka18,,,,
J110746.24+041101.20,11:07:46.24,+04:11:01.20,5.99,Matsuoka21,,,,
J121049.13+013426.70,12:10:49.13,+01:34:26.70,5.97,Matsuoka19b,,,,
J124359.03+032253.80,12:43:59.03,+03:22:53.80,5.97,Matsuoka21,,,,
J034652.04-162836.88,03:46:52.04,-16:28:36.88,5.9670,Banados16,,,,
J084119.52+290504.40,08:41:19.52,+29:05:04.40,5.96,Goto06,,,,
J010044.78+042211.50,01:00:44.78,+04:22:11.50,5.96,Matsuoka21,,,,
J0122+4609,  ,  ,5.96,used by Bosman18,,,,
J010250.64-021809.90,01:02:50.64,-02:18:09.90,5.95,Willott09,,,,
J110953.43+565707.61,11:09:53.43,+56:57:07.61,5.95,Banados16,,,,
J174800.51+224652.36,17:48:00.51,+22:46:52.36,5.95,Banados16,,,,
J101505.59+000223.00,10:15:05.59,+00:02:23.00,5.95,Matsuoka21,,,,
J220417.92+011144.80,22:04:17.92,+01:11:44.80,5.94,Kim15,,,,
J031710.42-263315.71,03:17:10.42,-26:33:15.71,5.94,Banados16,,,,
J141439.54+013036.50,14:14:39.54,+01:30:36.50,5.94,Matsuoka17,,,,
J091121.61+005146.10,09:11:21.61,+00:51:46.10,5.94,Matsuoka21,,,,
J234836.96-003437.00,23:48:36.96,-00:34:37.00,5.94,Matsuoka21,,,,
J120246.37-005701.70,12:02:46.37,-00:57:01.70,5.93,Matsuoka16,,,,
J145537.54+035929.00,14:55:37.54,+03:59:29.00,5.93,Matsuoka21,,,,
J000825.77-062604.60,00:08:25.77,-06:26:04.60,5.929,Jiang15,,,,
J141111.29+121737.40,14:11:11.29,+12:17:37.40,5.927,Fan04,,,,
J014837.64+060020.00,01:48:37.64,+06:00:20.00,5.923,Jiang15,,,,
J105928.61-090620.40,10:59:28.61,-09:06:20.40,5.92,Willott10,,,,
J205321.77+004706.80,20:53:21.77,+00:47:06.80,5.92,Jiang09,,,,
